synthetic,work,acdc,gear,pl1_w,freq_ghz,cpu_util,gpu_util,perf_score,power_w,temp_c,fluency_violation,policy_ver,fence_ver,envelope_ver
1,W0,AC,Quiet,25,3.8,62.5,7.3,64.0,34.5,56.9,0,stub-1,1.0,1.0
1,W1,AC,Quiet,25,3.8,85.3,12.8,66.7,38.4,58.6,0,stub-1,1.0,1.0
1,W2,AC,Quiet,25,3.8,24.7,50.5,55.0,23.9,52.3,0,stub-1,1.0,1.0
1,W3,AC,Quiet,25,3.8,58.0,77.8,60.0,35.6,57.6,0,stub-1,1.0,1.0
1,W4,AC,Quiet,25,3.8,67.8,35.6,70.2,38.6,58.2,0,stub-1,1.0,1.0
1,W5,AC,Quiet,25,3.8,81.3,59.3,71.1,39.0,56.4,0,stub-1,1.0,1.0
1,W6,AC,Quiet,25,3.8,53.3,92.6,58.8,32.6,57.4,0,stub-1,1.0,1.0
1,W7,AC,Quiet,25,3.8,82.6,57.0,66.7,38.0,57.8,0,stub-1,1.0,1.0
1,W0,AC,Quiet,25,3.8,25.5,31.0,55.2,24.6,54.6,0,stub-1,1.0,1.0
1,W1,AC,Quiet,25,3.8,62.2,37.8,65.7,32.1,57.0,0,stub-1,1.0,1.0
1,W2,AC,Quiet,25,3.8,29.0,89.3,51.9,22.6,54.0,0,stub-1,1.0,1.0
1,W3,AC,Quiet,25,3.8,39.2,94.1,61.6,25.7,52.5,0,stub-1,1.0,1.0
1,W4,AC,Quiet,25,3.8,66.6,80.9,65.9,32.7,57.7,0,stub-1,1.0,1.0
1,W5,AC,Quiet,25,3.8,24.0,89.9,53.3,24.7,52.7,0,stub-1,1.0,1.0
1,W6,AC,Quiet,25,3.8,64.0,40.6,67.7,32.4,56.2,0,stub-1,1.0,1.0
1,W7,AC,Quiet,25,3.8,55.5,28.6,64.5,27.7,53.1,0,stub-1,1.0,1.0
1,W0,AC,Quiet,25,3.8,40.9,24.7,61.5,27.7,55.1,0,stub-1,1.0,1.0
1,W1,AC,Quiet,25,3.8,14.9,61.5,50.6,21.8,51.1,0,stub-1,1.0,1.0
1,W2,AC,Quiet,25,3.8,10.7,39.3,52.5,20.1,55.0,1,stub-1,1.0,1.0
1,W3,AC,Quiet,25,3.8,69.9,66.4,65.5,33.4,56.4,0,stub-1,1.0,1.0
1,W4,AC,Quiet,25,3.8,62.7,15.0,61.4,34.0,59.9,0,stub-1,1.0,1.0
1,W5,AC,Quiet,25,3.8,50.1,21.1,58.9,33.5,55.1,0,stub-1,1.0,1.0
1,W6,AC,Quiet,25,3.8,31.9,62.5,53.8,24.7,53.8,0,stub-1,1.0,1.0
1,W7,AC,Quiet,25,3.8,75.1,52.7,64.4,38.0,58.3,0,stub-1,1.0,1.0
1,W0,DC,Quiet,25,3.8,6.8,88.6,51.7,16.6,50.6,0,stub-1,1.0,1.0
1,W1,DC,Quiet,25,3.8,84.0,90.2,71.8,40.5,60.1,0,stub-1,1.0,1.0
1,W2,DC,Quiet,25,3.8,11.2,73.5,49.1,19.3,49.9,0,stub-1,1.0,1.0
1,W3,DC,Quiet,25,3.8,83.5,43.1,71.2,39.0,60.5,0,stub-1,1.0,1.0
1,W4,DC,Quiet,25,3.8,70.7,23.1,63.1,41.2,58.5,0,stub-1,1.0,1.0
1,W5,DC,Quiet,25,3.8,15.9,25.2,47.8,20.1,53.7,0,stub-1,1.0,1.0
1,W6,DC,Quiet,25,3.8,25.7,24.8,57.1,25.1,54.2,0,stub-1,1.0,1.0
1,W7,DC,Quiet,25,3.8,82.4,11.4,76.8,38.3,60.6,0,stub-1,1.0,1.0
1,W0,AC,Balance,40,4.8,24.3,16.9,68.5,33.0,54.0,0,stub-1,1.0,1.0
1,W1,AC,Balance,40,4.8,77.7,22.1,81.8,49.2,63.1,0,stub-1,1.0,1.0
1,W2,AC,Balance,40,4.8,43.1,47.0,69.9,35.8,58.2,0,stub-1,1.0,1.0
1,W3,AC,Balance,40,4.8,35.5,82.6,68.1,36.9,58.9,0,stub-1,1.0,1.0
1,W4,AC,Balance,40,4.8,45.4,43.0,70.8,40.8,60.7,0,stub-1,1.0,1.0
1,W5,AC,Balance,40,4.8,54.5,9.6,72.5,45.4,60.9,0,stub-1,1.0,1.0
1,W6,AC,Balance,40,4.8,92.2,88.4,86.3,50.1,61.5,0,stub-1,1.0,1.0
1,W7,AC,Balance,40,4.8,41.1,10.3,70.1,34.1,59.9,0,stub-1,1.0,1.0
1,W0,AC,Balance,40,4.8,28.9,75.6,63.2,35.8,62.3,0,stub-1,1.0,1.0
1,W1,AC,Balance,40,4.8,55.0,69.7,71.5,42.7,61.0,0,stub-1,1.0,1.0
1,W2,AC,Balance,40,4.8,92.2,57.1,80.4,50.2,64.4,0,stub-1,1.0,1.0
1,W3,AC,Balance,40,4.8,81.7,19.2,83.5,49.2,62.1,0,stub-1,1.0,1.0
1,W4,AC,Balance,40,4.8,21.7,58.6,63.1,32.1,58.5,0,stub-1,1.0,1.0
1,W5,AC,Balance,40,4.8,58.5,60.7,79.5,40.3,60.1,0,stub-1,1.0,1.0
1,W6,AC,Balance,40,4.8,52.1,89.1,74.6,44.1,60.5,0,stub-1,1.0,1.0
1,W7,AC,Balance,40,4.8,65.5,32.0,80.2,43.0,62.3,0,stub-1,1.0,1.0
1,W0,AC,Balance,40,4.8,11.5,46.2,71.0,30.8,56.7,0,stub-1,1.0,1.0
1,W1,AC,Balance,40,4.8,28.9,89.0,67.2,38.2,56.3,0,stub-1,1.0,1.0
1,W2,AC,Balance,40,4.8,38.3,19.2,71.4,34.9,53.8,0,stub-1,1.0,1.0
1,W3,AC,Balance,40,4.8,5.7,78.5,53.6,28.5,57.1,0,stub-1,1.0,1.0
1,W4,AC,Balance,40,4.8,89.5,17.1,85.5,51.0,61.7,0,stub-1,1.0,1.0
