synthetic,machine,work,acdc,gear,pl1_w,freq_ghz,cpu_util,gpu_util,perf_score,power_w,temp_c,fluency_violation,policy_ver,fence_ver,envelope_ver
1,B,W0,AC,Quiet,25,3.8,34.1,18.6,52.6,26.6,56.9,0,stub-1,1.0,1.0
1,B,W1,AC,Quiet,25,3.8,10.2,50.7,45.9,23.1,57.5,0,stub-1,1.0,1.0
1,B,W2,AC,Quiet,25,3.8,11.3,13.2,41.9,23.0,57.8,0,stub-1,1.0,1.0
1,B,W3,AC,Quiet,25,3.8,90.3,56.9,70.5,37.5,64.6,0,stub-1,1.0,1.0
1,B,W4,AC,Quiet,25,3.8,9.2,82.3,45.9,21.8,57.6,0,stub-1,1.0,1.0
1,B,W5,AC,Quiet,25,3.8,21.3,57.3,51.4,22.7,55.8,0,stub-1,1.0,1.0
1,B,W6,AC,Quiet,25,3.8,54.3,10.7,60.8,33.0,59.9,0,stub-1,1.0,1.0
1,B,W7,AC,Quiet,25,3.8,33.3,57.7,50.1,25.4,58.3,0,stub-1,1.0,1.0
1,B,W0,DC,Quiet,25,3.8,76.5,67.9,65.3,40.9,60.3,0,stub-1,1.0,1.0
1,B,W1,DC,Quiet,25,3.8,70.7,30.9,62.5,37.7,62.1,0,stub-1,1.0,1.0
1,B,W2,DC,Quiet,25,3.8,42.6,73.1,57.6,31.4,62.1,0,stub-1,1.0,1.0
1,B,W3,DC,Quiet,25,3.8,56.6,83.8,60.6,31.9,62.3,0,stub-1,1.0,1.0
1,B,W4,DC,Quiet,25,3.8,58.5,57.2,54.6,34.6,62.7,0,stub-1,1.0,1.0
1,B,W5,DC,Quiet,25,3.8,10.5,68.1,45.5,17.3,51.3,0,stub-1,1.0,1.0
1,B,W6,DC,Quiet,25,3.8,79.0,30.6,62.5,40.9,65.0,0,stub-1,1.0,1.0
1,B,W7,DC,Quiet,25,3.8,20.1,15.5,49.8,26.8,59.3,0,stub-1,1.0,1.0
1,B,W0,AC,Quiet,25,3.8,16.6,27.3,43.7,25.3,59.3,0,stub-1,1.0,1.0
1,B,W1,AC,Quiet,25,3.8,54.4,84.5,60.5,34.2,58.3,0,stub-1,1.0,1.0
1,B,W2,AC,Quiet,25,3.8,30.1,42.4,48.2,29.4,60.1,0,stub-1,1.0,1.0
1,B,W3,AC,Quiet,25,3.8,25.9,26.0,50.5,22.4,57.0,0,stub-1,1.0,1.0
1,B,W4,AC,Quiet,25,3.8,28.6,5.4,49.2,26.8,55.0,0,stub-1,1.0,1.0
1,B,W5,AC,Quiet,25,3.8,51.4,60.6,55.1,31.4,59.6,0,stub-1,1.0,1.0
1,B,W6,AC,Quiet,25,3.8,86.0,75.2,71.5,38.2,61.2,0,stub-1,1.0,1.0
1,B,W7,AC,Quiet,25,3.8,14.3,62.1,49.6,22.8,57.2,0,stub-1,1.0,1.0
1,B,W0,DC,Balance,40,4.8,23.8,19.6,61.3,36.1,62.5,0,stub-1,1.0,1.0
1,B,W1,DC,Balance,40,4.8,14.1,37.7,59.2,37.1,62.5,0,stub-1,1.0,1.0
1,B,W2,DC,Balance,40,4.8,60.3,18.4,72.0,46.9,64.9,0,stub-1,1.0,1.0
1,B,W3,DC,Balance,40,4.8,94.4,46.9,82.8,53.1,67.6,0,stub-1,1.0,1.0
1,B,W4,DC,Balance,40,4.8,14.2,35.8,58.7,36.8,62.1,0,stub-1,1.0,1.0
1,B,W5,DC,Balance,40,4.8,52.5,18.2,70.5,42.6,63.8,0,stub-1,1.0,1.0
1,B,W6,DC,Balance,40,4.8,52.5,93.1,72.9,40.7,63.2,0,stub-1,1.0,1.0
1,B,W7,DC,Balance,40,4.8,20.0,74.5,63.7,31.2,59.4,0,stub-1,1.0,1.0
1,B,W0,AC,Balance,40,4.8,34.7,25.1,68.2,33.0,62.2,0,stub-1,1.0,1.0
1,B,W1,AC,Balance,40,4.8,78.6,71.6,72.9,50.2,68.4,0,stub-1,1.0,1.0
1,B,W2,AC,Balance,40,4.8,37.0,7.6,68.0,39.3,62.6,0,stub-1,1.0,1.0
1,B,W3,AC,Balance,40,4.8,45.3,89.3,72.5,46.1,64.9,0,stub-1,1.0,1.0
1,B,W4,AC,Balance,40,4.8,37.8,24.8,66.1,40.5,63.8,0,stub-1,1.0,1.0
1,B,W5,AC,Balance,40,4.8,80.6,48.2,81.8,48.3,63.7,0,stub-1,1.0,1.0
1,B,W6,AC,Balance,40,4.8,12.6,64.5,63.2,30.8,59.8,0,stub-1,1.0,1.0
1,B,W7,AC,Balance,40,4.8,21.1,76.0,57.7,33.1,62.9,0,stub-1,1.0,1.0
