gear,work,pl1_w,freq_ghz,pred_perf,pred_power,pred_temp,shield,clamp,return,proxy,policy_ver,fence_ver,envelope_ver
Quiet,W0,25,3.8,59.4,28.73,55.14,0.0,0.0,59.4,B2-frozen-x-surrogate,stub-1,1.0,1.0
Quiet,W1,25,3.8,59.4,28.73,55.14,0.0,0.0,59.4,B2-frozen-x-surrogate,stub-1,1.0,1.0
Quiet,W2,25,3.8,60.35,28.64,54.95,0.0,0.0,60.35,B2-frozen-x-surrogate,stub-1,1.0,1.0
Quiet,W3,25,3.8,59.4,28.73,55.14,0.0,0.0,59.4,B2-frozen-x-surrogate,stub-1,1.0,1.0
Quiet,W4,25,3.8,59.4,28.73,55.14,0.0,0.0,59.4,B2-frozen-x-surrogate,stub-1,1.0,1.0
Quiet,W5,25,3.8,59.4,28.73,55.14,0.0,0.0,59.4,B2-frozen-x-surrogate,stub-1,1.0,1.0
Quiet,W6,25,3.8,59.4,28.73,55.14,0.0,0.0,59.4,B2-frozen-x-surrogate,stub-1,1.0,1.0
Quiet,W7,25,3.8,59.4,28.73,55.14,0.0,0.0,59.4,B2-frozen-x-surrogate,stub-1,1.0,1.0
Balance,W0,40,4.8,73.99,40.59,59.03,0.0,0.0,73.99,B2-frozen-x-surrogate,stub-1,1.0,1.0
Balance,W1,40,4.8,73.99,40.59,59.03,0.0,0.0,73.99,B2-frozen-x-surrogate,stub-1,1.0,1.0
Balance,W2,40,4.8,70.96,38.87,58.71,0.0,0.0,70.96,B2-frozen-x-surrogate,stub-1,1.0,1.0
Balance,W3,40,4.8,73.99,40.59,59.03,0.0,0.0,73.99,B2-frozen-x-surrogate,stub-1,1.0,1.0
Balance,W4,40,4.8,73.99,40.59,59.03,0.0,0.0,73.99,B2-frozen-x-surrogate,stub-1,1.0,1.0
Balance,W5,40,4.8,73.99,40.59,59.03,0.0,0.0,73.99,B2-frozen-x-surrogate,stub-1,1.0,1.0
Balance,W6,40,4.8,73.99,40.59,59.03,0.0,0.0,73.99,B2-frozen-x-surrogate,stub-1,1.0,1.0
Balance,W7,40,4.8,73.99,40.59,59.03,0.0,0.0,73.99,B2-frozen-x-surrogate,stub-1,1.0,1.0
Beast,W0,65,5.0,76.31,59.75,65.61,0.0,0.0,76.31,B2-frozen-x-surrogate,stub-1,1.0,1.0
Beast,W1,65,5.0,76.31,59.75,65.61,0.0,0.0,76.31,B2-frozen-x-surrogate,stub-1,1.0,1.0
Beast,W2,65,5.0,76.92,58.62,65.54,0.0,0.0,76.92,B2-frozen-x-surrogate,stub-1,1.0,1.0
Beast,W3,65,5.0,76.31,59.75,65.61,0.0,0.0,76.31,B2-frozen-x-surrogate,stub-1,1.0,1.0
Beast,W4,65,5.0,76.31,59.75,65.61,0.0,0.0,76.31,B2-frozen-x-surrogate,stub-1,1.0,1.0
Beast,W5,65,5.0,76.31,59.75,65.61,0.0,0.0,76.31,B2-frozen-x-surrogate,stub-1,1.0,1.0
Beast,W6,65,5.0,76.31,59.75,65.61,0.0,0.0,76.31,B2-frozen-x-surrogate,stub-1,1.0,1.0
Beast,W7,65,5.0,76.31,59.75,65.61,0.0,0.0,76.31,B2-frozen-x-surrogate,stub-1,1.0,1.0
Extreme,W0,65,5.2,75.87,57.9,65.58,0.0,0.0,75.87,B2-frozen-x-surrogate,stub-1,1.0,1.0
Extreme,W1,65,5.2,75.87,57.9,65.58,0.0,0.0,75.87,B2-frozen-x-surrogate,stub-1,1.0,1.0
Extreme,W2,65,5.2,78.88,60.23,66.45,0.0,0.0,78.88,B2-frozen-x-surrogate,stub-1,1.0,1.0
Extreme,W3,65,5.2,75.87,57.9,65.58,0.0,0.0,75.87,B2-frozen-x-surrogate,stub-1,1.0,1.0
Extreme,W4,65,5.2,75.87,57.9,65.58,0.0,0.0,75.87,B2-frozen-x-surrogate,stub-1,1.0,1.0
Extreme,W5,65,5.2,75.87,57.9,65.58,0.0,0.0,75.87,B2-frozen-x-surrogate,stub-1,1.0,1.0
Extreme,W6,65,5.2,75.87,57.9,65.58,0.0,0.0,75.87,B2-frozen-x-surrogate,stub-1,1.0,1.0
Extreme,W7,65,5.2,75.87,57.9,65.58,0.0,0.0,75.87,B2-frozen-x-surrogate,stub-1,1.0,1.0
